snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,6e-06,6e-06,0.0,0.0
11,0.0,0.0,6e-06,6e-06,0.0,0.0
12,0.0,0.0,6e-06,6e-06,0.0,0.0
13,0.0,0.0,6e-06,6e-06,0.0,0.0
14,0.0,0.0,6e-06,6e-06,0.0,0.0
15,0.0,0.0,6e-06,6e-06,0.0,0.0
16,0.0,0.0,6e-06,6e-06,0.0,0.0
17,0.0,0.0,6e-06,6e-06,0.0,0.0
18,0.0,0.0,6e-06,6e-06,0.0,0.0
19,0.0,0.0,6e-06,6e-06,0.0,0.0
20,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
21,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
22,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
23,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
24,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
25,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
26,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
27,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
28,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
29,0.8401738,0.0,0.8401805,6e-06,0.0,0.0007451
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
41,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
42,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
43,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
44,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
45,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
46,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
47,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
48,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
49,1.6802527,0.0,1.6802569,9.4e-06,0.0,0.0010019
50,0.0,0.0,6e-06,6e-06,0.0,0.0
51,0.0,0.0,6e-06,6e-06,0.0,0.0
52,0.0,0.0,6e-06,6e-06,0.0,0.0
53,0.0,0.0,6e-06,6e-06,0.0,0.0
54,0.0,0.0,6e-06,6e-06,0.0,0.0
55,0.0,0.0,6e-06,6e-06,0.0,0.0
56,0.0,0.0,6e-06,6e-06,0.0,0.0
57,0.0,0.0,6e-06,6e-06,0.0,0.0
58,0.0,0.0,6e-06,6e-06,0.0,0.0
59,0.0,0.0,6e-06,6e-06,0.0,0.0
60,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
61,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
62,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
63,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
64,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
65,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
66,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
67,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
68,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
69,8.3978086,0.0,8.3978053,0.0,0.0,0.00197
70,0.0,0.0,6e-06,6e-06,0.0,0.0
71,0.0,0.0,6e-06,6e-06,0.0,0.0
72,0.0,0.0,6e-06,6e-06,0.0,0.0
73,0.0,0.0,6e-06,6e-06,0.0,0.0
74,0.0,0.0,6e-06,6e-06,0.0,0.0
75,0.0,0.0,6e-06,6e-06,0.0,0.0
76,0.0,0.0,6e-06,6e-06,0.0,0.0
77,0.0,0.0,6e-06,6e-06,0.0,0.0
78,0.0,0.0,6e-06,6e-06,0.0,0.0
79,0.0,0.0,6e-06,6e-06,0.0,0.0
80,16.8025575,0.0,16.8025606,6e-06,0.0,0.0051746
81,16.8025575,0.0,16.8025606,6e-06,0.0,0.0051746
82,16.8025575,0.0,16.8025606,6e-06,0.0,0.0051746
